[Information]
CS-R5
DSP-RX
V6.60
[InPatch]
IN PATCH,SOURCE,COMMENT
CH 31 B,NONE,# Blank,
CH 32 A,NONE,# Blank,
CH 32 B,NONE,# Blank,
CH 33 A,NONE,# Blank,
CH 33 B,NONE,# Blank,
CH 34 A,NONE,# Blank,
CH 34 B,NONE,# Blank,
CH 35 A,NONE,# Blank,
CH 35 B,NONE,# Blank,
CH 36 A,NONE,# Blank,
CH 36 B,NONE,# Blank,
CH 37 A,NONE,# Blank,
CH 37 B,NONE,# Blank,
CH 38 A,NONE,# Blank,
CH 38 B,NONE,# Blank,
CH 39 A,NONE,# Blank,
CH 39 B,NONE,# Blank,
CH 40 A,NONE,# Blank,
CH 40 B,NONE,# Blank,
CH 41 A,NONE,# Blank,
CH 41 B,NONE,# Blank,
CH 42 A,NONE,# Blank,
CH 42 B,NONE,# Blank,
CH 43 A,NONE,# Blank,
CH 43 B,NONE,# Blank,
CH 44 A,NONE,# Blank,
CH 44 B,NONE,# Blank,
CH 45 A,NONE,# Blank,
CH 45 B,NONE,# Blank,
CH 46 A,NONE,# Blank,
CH 46 B,NONE,# Blank,
CH 47 A,NONE,# Blank,
CH 47 B,NONE,# Blank,
CH 48 A,NONE,# Blank,
CH 48 B,NONE,# Blank,
CH 49 A,NONE,# Blank,
CH 49 B,NONE,# Blank,
CH 50 A,NONE,# Blank,
CH 50 B,NONE,# Blank,
CH 51 A,NONE,# Blank,
CH 51 B,NONE,# Blank,
CH 52 A,NONE,# Blank,
CH 52 B,NONE,# Blank,
CH 53 A,NONE,# Blank,
CH 53 B,NONE,# Blank,
CH 54 A,NONE,# Blank,
CH 54 B,NONE,# Blank,
CH 55 A,NONE,# Blank,
CH 55 B,NONE,# Blank,
CH 56 A,NONE,# Blank,
CH 56 B,NONE,# Blank,
CH 57 A,NONE,# Blank,
CH 57 B,NONE,# Blank,
CH 58 A,NONE,# Blank,
CH 58 B,NONE,# Blank,
CH 59 A,NONE,# Blank,
CH 59 B,NONE,# Blank,
CH 60 A,NONE,# Blank,
CH 60 B,NONE,# Blank,
CH 61 A,NONE,# Blank,
CH 61 B,NONE,# Blank,
CH 62 A,NONE,# Blank,
CH 62 B,NONE,# Blank,
CH 63 A,NONE,# Blank,
CH 63 B,NONE,# Blank,
CH 64 A,NONE,# Blank,
CH 64 B,NONE,# Blank,
CH 65 A,NONE,# Blank,
CH 65 B,NONE,# Blank,
CH 66 A,NONE,# Blank,
CH 66 B,NONE,# Blank,
CH 67 A,NONE,# Blank,
CH 67 B,NONE,# Blank,
CH 68 A,NONE,# Blank,
CH 68 B,NONE,# Blank,
CH 69 A,NONE,# Blank,
CH 69 B,NONE,# Blank,
CH 70 A,NONE,# Blank,
CH 70 B,NONE,# Blank,
CH 71 A,NONE,# Blank,
CH 71 B,NONE,# Blank,
CH 72 A,NONE,# Blank,
CH 72 B,NONE,# Blank,
CH 73 A,NONE,# Blank,
CH 73 B,NONE,# Blank,
CH 74 A,NONE,# Blank,
CH 74 B,NONE,# Blank,
CH 75 A,NONE,# Blank,
CH 75 B,NONE,# Blank,
CH 76 A,NONE,# Blank,
CH 76 B,NONE,# Blank,
CH 77 A,NONE,# Blank,
CH 77 B,NONE,# Blank,
CH 78 A,NONE,# Blank,
CH 78 B,NONE,# Blank,
CH 79 A,NONE,# Blank,
CH 79 B,NONE,# Blank,
CH 80 A,NONE,# Blank,
CH 80 B,NONE,# Blank,
CH 81 A,NONE,# Blank,
CH 81 B,NONE,# Blank,
CH 82 A,NONE,# Blank,
CH 82 B,NONE,# Blank,
CH 83 A,NONE,# Blank,
CH 83 B,NONE,# Blank,
CH 84 A,NONE,# Blank,
CH 84 B,NONE,# Blank,
CH 85 A,NONE,# Blank,
CH 85 B,NONE,# Blank,
CH 86 A,NONE,# Blank,
CH 86 B,NONE,# Blank,
CH 87 A,NONE,# Blank,
CH 87 B,NONE,# Blank,
CH 88 A,NONE,# Blank,
CH 88 B,NONE,# Blank,
CH 89 A,NONE,# Blank,
CH 89 B,NONE,# Blank,
CH 90 A,NONE,# Blank,
CH 90 B,NONE,# Blank,
CH 91 A,NONE,# Blank,
CH 91 B,NONE,# Blank,
CH 92 A,NONE,# Blank,
CH 92 B,NONE,# Blank,
CH 93 A,NONE,# Blank,
CH 93 B,NONE,# Blank,
CH 94 A,NONE,# Blank,
CH 94 B,NONE,# Blank,
CH 95 A,NONE,# Blank,
CH 95 B,NONE,# Blank,
CH 96 A,NONE,# Blank,
CH 96 B,NONE,# Blank,
CH 97 A,NONE,# Blank,
CH 97 B,NONE,# Blank,
CH 98 A,NONE,# Blank,
CH 98 B,NONE,# Blank,
CH 99 A,NONE,# Blank,
CH 99 B,NONE,# Blank,
CH 100 A,NONE,# Blank,
CH 100 B,NONE,# Blank,
CH 101 A,NONE,# Blank,
CH 101 B,NONE,# Blank,
CH 102 A,NONE,# Blank,
CH 102 B,NONE,# Blank,
CH 103 A,NONE,# Blank,
CH 103 B,NONE,# Blank,
CH 104 A,NONE,# Blank,
CH 104 B,NONE,# Blank,
CH 105 A,NONE,# Blank,
CH 105 B,NONE,# Blank,
CH 106 A,NONE,# Blank,
CH 106 B,NONE,# Blank,
CH 107 A,NONE,# Blank,
CH 107 B,NONE,# Blank,
CH 108 A,NONE,# Blank,
CH 108 B,NONE,# Blank,
CH 109 A,NONE,# Blank,
CH 109 B,NONE,# Blank,
CH 110 A,NONE,# Blank,
CH 110 B,NONE,# Blank,
CH 111 A,NONE,# Blank,
CH 111 B,NONE,# Blank,
CH 112 A,NONE,# Blank,
CH 112 B,NONE,# Blank,
CH 113 A,NONE,# Blank,
CH 113 B,NONE,# Blank,
CH 114 A,NONE,# Blank,
CH 114 B,NONE,# Blank,
CH 115 A,NONE,# Blank,
CH 115 B,NONE,# Blank,
CH 116 A,NONE,# Blank,
CH 116 B,NONE,# Blank,
CH 117 A,NONE,# Blank,
CH 117 B,NONE,# Blank,
CH 118 A,NONE,# Blank,
CH 118 B,NONE,# Blank,
CH 119 A,NONE,# Blank,
CH 119 B,NONE,# Blank,
CH 120 A,NONE,# Blank,
CH 120 B,NONE,# Blank,
CH 121 A,NONE,# Blank,
CH 121 B,NONE,# Blank,
CH 122 A,NONE,# Blank,
CH 122 B,NONE,# Blank,
CH 123 A,NONE,# Blank,
CH 123 B,NONE,# Blank,
CH 124 A,NONE,# Blank,
CH 124 B,NONE,# Blank,
CH 125 A,NONE,# Blank,
CH 125 B,NONE,# Blank,
CH 126 A,NONE,# Blank,
CH 126 B,NONE,# Blank,
CH 127 A,NONE,# Blank,
CH 127 B,NONE,# Blank,
CH 128 A,NONE,# Blank,
CH 128 B,NONE,# Blank,
CH 129 A,NONE,# Blank,
CH 129 B,NONE,# Blank,
CH 130 A,NONE,# Blank,
CH 130 B,NONE,# Blank,
CH 131 A,NONE,# Blank,
CH 131 B,NONE,# Blank,
CH 132 A,NONE,# Blank,
CH 132 B,NONE,# Blank,
CH 133 A,NONE,# Blank,
CH 133 B,NONE,# Blank,
CH 134 A,NONE,# Blank,
CH 134 B,NONE,# Blank,
CH 135 A,NONE,# Blank,
CH 135 B,NONE,# Blank,
CH 136 A,NONE,# Blank,
CH 136 B,NONE,# Blank,
CH 137 A,NONE,# Blank,
CH 137 B,NONE,# Blank,
CH 138 A,NONE,# Blank,
CH 138 B,NONE,# Blank,
CH 139 A,NONE,# Blank,
CH 139 B,NONE,# Blank,
CH 140 A,NONE,# Blank,
CH 140 B,NONE,# Blank,
CH 141 A,NONE,# Blank,
CH 141 B,NONE,# Blank,
CH 142 A,NONE,# Blank,
CH 142 B,NONE,# Blank,
CH 143 A,NONE,# Blank,
CH 143 B,NONE,# Blank,
CH 144 A,NONE,# Blank,
CH 144 B,NONE,# Blank,
CH 145 A,NONE,# Blank,
CH 145 B,NONE,# Blank,
CH 146 A,NONE,# Blank,
CH 146 B,NONE,# Blank,
CH 147 A,NONE,# Blank,
CH 147 B,NONE,# Blank,
CH 148 A,NONE,# Blank,
CH 148 B,NONE,# Blank,
CH 149 A,NONE,# Blank,
CH 149 B,NONE,# Blank,
CH 150 A,NONE,# Blank,
CH 150 B,NONE,# Blank,
CH 151 A,NONE,# Blank,
CH 151 B,NONE,# Blank,
CH 152 A,NONE,# Blank,
CH 152 B,NONE,# Blank,
CH 153 A,NONE,# Blank,
CH 153 B,NONE,# Blank,
CH 154 A,NONE,# Blank,
CH 154 B,NONE,# Blank,
CH 155 A,NONE,# Blank,
CH 155 B,NONE,# Blank,
CH 156 A,NONE,# Blank,
CH 156 B,NONE,# Blank,
CH 157 A,NONE,# Blank,
CH 157 B,NONE,# Blank,
CH 158 A,NONE,# Blank,
CH 158 B,NONE,# Blank,
CH 159 A,NONE,# Blank,
CH 159 B,NONE,# Blank,
CH 160 A,NONE,# Blank,
CH 160 B,NONE,# Blank,
CH 161 A,NONE,# Blank,
CH 161 B,NONE,# Blank,
CH 162 A,NONE,# Blank,
CH 162 B,NONE,# Blank,
CH 163 A,NONE,# Blank,
CH 163 B,NONE,# Blank,
CH 164 A,NONE,# Blank,
CH 164 B,NONE,# Blank,
CH 165 A,NONE,# Blank,
CH 165 B,NONE,# Blank,
CH 166 A,NONE,# Blank,
CH 166 B,NONE,# Blank,
CH 167 A,NONE,# Blank,
CH 167 B,NONE,# Blank,
CH 168 A,NONE,# Blank,
CH 168 B,NONE,# Blank,
CH 169 A,NONE,# Blank,
CH 169 B,NONE,# Blank,
CH 170 A,NONE,# Blank,
CH 170 B,NONE,# Blank,
CH 171 A,NONE,# Blank,
CH 171 B,NONE,# Blank,
CH 172 A,NONE,# Blank,
CH 172 B,NONE,# Blank,
CH 173 A,NONE,# Blank,
CH 173 B,NONE,# Blank,
CH 174 A,NONE,# Blank,
CH 174 B,NONE,# Blank,
CH 175 A,NONE,# Blank,
CH 175 B,NONE,# Blank,
CH 176 A,NONE,# Blank,
CH 176 B,NONE,# Blank,
CH 177 A,NONE,# Blank,
CH 177 B,NONE,# Blank,
CH 178 A,NONE,# Blank,
CH 178 B,NONE,# Blank,
CH 179 A,NONE,# Blank,
CH 179 B,NONE,# Blank,
CH 180 A,NONE,# Blank,
CH 180 B,NONE,# Blank,
CH 181 A,NONE,# Blank,
CH 181 B,NONE,# Blank,
CH 182 A,NONE,# Blank,
CH 182 B,NONE,# Blank,
CH 183 A,NONE,# Blank,
CH 183 B,NONE,# Blank,
CH 184 A,NONE,# Blank,
CH 184 B,NONE,# Blank,
CH 185 A,NONE,# Blank,
CH 185 B,NONE,# Blank,
CH 186 A,NONE,# Blank,
CH 186 B,NONE,# Blank,
CH 187 A,NONE,# Blank,
CH 187 B,NONE,# Blank,
CH 188 A,NONE,# Blank,
CH 188 B,NONE,# Blank,
CH 189 A,NONE,# Blank,
CH 189 B,NONE,# Blank,
CH 190 A,NONE,# Blank,
CH 190 B,NONE,# Blank,
CH 191 A,NONE,# Blank,
CH 191 B,NONE,# Blank,
CH 192 A,NONE,# Blank,
CH 192 B,NONE,# Blank,
CH 193 A,NONE,# Blank,
CH 193 B,NONE,# Blank,
CH 194 A,NONE,# Blank,
CH 194 B,NONE,# Blank,
CH 195 A,NONE,# Blank,
CH 195 B,NONE,# Blank,
CH 196 A,NONE,# Blank,
CH 196 B,NONE,# Blank,
CH 197 A,NONE,# Blank,
CH 197 B,NONE,# Blank,
CH 198 A,NONE,# Blank,
CH 198 B,NONE,# Blank,
CH 199 A,NONE,# Blank,
CH 199 B,NONE,# Blank,
CH 200 A,NONE,# Blank,
CH 200 B,NONE,# Blank,
CH 201 A,NONE,# Blank,
CH 201 B,NONE,# Blank,
CH 202 A,NONE,# Blank,
CH 202 B,NONE,# Blank,
CH 203 A,NONE,# Blank,
CH 203 B,NONE,# Blank,
CH 204 A,NONE,# Blank,
CH 204 B,NONE,# Blank,
CH 205 A,NONE,# Blank,
CH 205 B,NONE,# Blank,
CH 206 A,NONE,# Blank,
CH 206 B,NONE,# Blank,
CH 207 A,NONE,# Blank,
CH 207 B,NONE,# Blank,
CH 208 A,NONE,# Blank,
CH 208 B,NONE,# Blank,
CH 209 A,NONE,# Blank,
CH 209 B,NONE,# Blank,
CH 210 A,NONE,# Blank,
CH 210 B,NONE,# Blank,
CH 211 A,NONE,# Blank,
CH 211 B,NONE,# Blank,
CH 212 A,NONE,# Blank,
CH 212 B,NONE,# Blank,
CH 213 A,NONE,# Blank,
CH 213 B,NONE,# Blank,
CH 214 A,NONE,# Blank,
CH 214 B,NONE,# Blank,
CH 215 A,NONE,# Blank,
CH 215 B,NONE,# Blank,
CH 216 A,NONE,# Blank,
CH 216 B,NONE,# Blank,
CH 217 A,NONE,# Blank,
CH 217 B,NONE,# Blank,
CH 218 A,NONE,# Blank,
CH 218 B,NONE,# Blank,
CH 219 A,NONE,# Blank,
CH 219 B,NONE,# Blank,
CH 220 A,NONE,# Blank,
CH 220 B,NONE,# Blank,
CH 221 A,NONE,# Blank,
CH 221 B,NONE,# Blank,
CH 222 A,NONE,# Blank,
CH 222 B,NONE,# Blank,
CH 223 A,NONE,# Blank,
CH 223 B,NONE,# Blank,
CH 224 A,NONE,# Blank,
CH 224 B,NONE,# Blank,
CH 225 A,NONE,# Blank,
CH 225 B,NONE,# Blank,
CH 226 A,NONE,# Blank,
CH 226 B,NONE,# Blank,
CH 227 A,NONE,# Blank,
CH 227 B,NONE,# Blank,
CH 228 A,NONE,# Blank,
CH 228 B,NONE,# Blank,
CH 229 A,NONE,# Blank,
CH 229 B,NONE,# Blank,
CH 230 A,NONE,# Blank,
CH 230 B,NONE,# Blank,
CH 231 A,NONE,# Blank,
CH 231 B,NONE,# Blank,
CH 232 A,NONE,# Blank,
CH 232 B,NONE,# Blank,
CH 233 A,NONE,# Blank,
CH 233 B,NONE,# Blank,
CH 234 A,NONE,# Blank,
CH 234 B,NONE,# Blank,
CH 235 A,NONE,# Blank,
CH 235 B,NONE,# Blank,
CH 236 A,NONE,# Blank,
CH 236 B,NONE,# Blank,
CH 237 A,NONE,# Blank,
CH 237 B,NONE,# Blank,
CH 238 A,NONE,# Blank,
CH 238 B,NONE,# Blank,
CH 239 A,NONE,# Blank,
CH 239 B,NONE,# Blank,
CH 240 A,NONE,# Blank,
CH 240 B,NONE,# Blank,
CH 241 A,NONE,# Blank,
CH 241 B,NONE,# Blank,
CH 242 A,NONE,# Blank,
CH 242 B,NONE,# Blank,
CH 243 A,NONE,# Blank,
CH 243 B,NONE,# Blank,
CH 244 A,NONE,# Blank,
CH 244 B,NONE,# Blank,
CH 245 A,NONE,# Blank,
CH 245 B,NONE,# Blank,
CH 246 A,NONE,# Blank,
CH 246 B,NONE,# Blank,
CH 247 A,NONE,# Blank,
CH 247 B,NONE,# Blank,
CH 248 A,NONE,# Blank,
CH 248 B,NONE,# Blank,
CH 249 A,NONE,# Blank,
CH 249 B,NONE,# Blank,
CH 250 A,NONE,# Blank,
CH 250 B,NONE,# Blank,
CH 251 A,NONE,# Blank,
CH 251 B,NONE,# Blank,
CH 252 A,NONE,# Blank,
CH 252 B,NONE,# Blank,
CH 253 A,NONE,# Blank,
CH 253 B,NONE,# Blank,
CH 254 A,NONE,# Blank,
CH 254 B,NONE,# Blank,
CH 255 A,NONE,# Blank,
CH 255 B,NONE,# Blank,
CH 256 A,NONE,# Blank,
CH 256 B,NONE,# Blank,
CH 257 A,NONE,# Blank,
CH 257 B,NONE,# Blank,
CH 258 A,NONE,# Blank,
CH 258 B,NONE,# Blank,
CH 259 A,NONE,# Blank,
CH 259 B,NONE,# Blank,
CH 260 A,NONE,# Blank,
CH 260 B,NONE,# Blank,
CH 261 A,NONE,# Blank,
CH 261 B,NONE,# Blank,
CH 262 A,NONE,# Blank,
CH 262 B,NONE,# Blank,
CH 263 A,NONE,# Blank,
CH 263 B,NONE,# Blank,
CH 264 A,NONE,# Blank,
CH 264 B,NONE,# Blank,
CH 265 A,NONE,# Blank,
CH 265 B,NONE,# Blank,
CH 266 A,NONE,# Blank,
CH 266 B,NONE,# Blank,
CH 267 A,NONE,# Blank,
CH 267 B,NONE,# Blank,
CH 268 A,NONE,# Blank,
CH 268 B,NONE,# Blank,
CH 269 A,NONE,# Blank,
CH 269 B,NONE,# Blank,
CH 270 A,NONE,# Blank,
CH 270 B,NONE,# Blank,
CH 271 A,NONE,# Blank,
CH 271 B,NONE,# Blank,
CH 272 A,NONE,# Blank,
CH 272 B,NONE,# Blank,
CH 273 A,NONE,# Blank,
CH 273 B,NONE,# Blank,
CH 274 A,NONE,# Blank,
CH 274 B,NONE,# Blank,
CH 275 A,NONE,# Blank,
CH 275 B,NONE,# Blank,
CH 276 A,NONE,# Blank,
CH 276 B,NONE,# Blank,
CH 277 A,NONE,# Blank,
CH 277 B,NONE,# Blank,
CH 278 A,NONE,# Blank,
CH 278 B,NONE,# Blank,
CH 279 A,NONE,# Blank,
CH 279 B,NONE,# Blank,
CH 280 A,NONE,# Blank,
CH 280 B,NONE,# Blank,
CH 281 A,NONE,# Blank,
CH 281 B,NONE,# Blank,
CH 282 A,NONE,# Blank,
CH 282 B,NONE,# Blank,
CH 283 A,NONE,# Blank,
CH 283 B,NONE,# Blank,
CH 284 A,NONE,# Blank,
CH 284 B,NONE,# Blank,
CH 285 A,NONE,# Blank,
CH 285 B,NONE,# Blank,
CH 286 A,NONE,# Blank,
CH 286 B,NONE,# Blank,
CH 287 A,NONE,# Blank,
CH 287 B,NONE,# Blank,
CH 288 A,NONE,# Blank,
CH 288 B,NONE,# Blank,
